"All Cancer Sites Combined"
"SEER Incidence Rates by Age at Diagnosis, 2014-2018"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower 95% Confidence Interval","Rate Upper 95% Confidence Interval"
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",1-4,15.7626,2.1450,11.8414,20.5668
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",5-9,8.1252,1.3935,5.6269,11.3542
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",10-14,10.1858,1.5908,7.3095,13.8182
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",15-19,13.1684,1.8261,9.8348,17.2685
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",20-24,23.6498,2.4013,19.1784,28.8508
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",25-29,38.5845,3.0892,32.7673,45.1368
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",30-34,79.3530,4.6922,70.4219,89.1030
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",35-39,108.0624,5.7762,97.0365,119.9979
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",40-44,149.6003,7.2060,135.8084,164.4131
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",45-49,248.4365,9.4305,230.2944,267.6280
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",50-54,412.9831,12.0944,389.6158,437.3856
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",55-59,570.3999,14.7969,541.7638,600.1566
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",60-64,836.3801,19.9933,797.6486,876.5061
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",65-69,1088.7447,26.5547,1037.3145,1142.0649
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",70-74,1370.6156,36.6706,1299.6764,1444.4202
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",75-79,1506.5208,47.5217,1414.8077,1602.6185
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",80-84,1759.8191,65.7675,1633.2606,1893.5809
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",85+,1561.8649,67.3368,1432.6581,1699.5961
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",<1,28.5131,2.0062,24.7164,32.7279
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",1-4,22.4105,0.8737,20.7306,24.1902
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",5-9,11.5371,0.5570,10.4711,12.6823
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",10-14,14.2028,0.6158,13.0214,15.4626
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",15-19,20.6133,0.7395,19.1892,22.1151
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",20-24,29.8768,0.8354,28.2616,31.5601
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",25-29,43.7230,0.9133,41.9511,45.5504
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",30-34,73.2360,1.1851,70.9315,75.5963
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",35-39,117.8777,1.5532,114.8530,120.9620
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",40-44,193.9340,2.0333,189.9690,197.9609
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",45-49,296.2053,2.6006,291.1299,301.3470
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",50-54,423.1525,3.2355,416.8346,429.5422
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",55-59,560.5601,3.8683,553.0036,568.1940
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",60-64,777.5427,4.8835,768.0002,787.1742
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",65-69,1041.2534,6.2575,1029.0245,1053.5913
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",70-74,1218.9353,8.1228,1203.0662,1234.9614
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",75-79,1402.1560,10.2894,1382.0608,1422.4704
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",80-84,1533.5664,12.9559,1508.2771,1559.1734
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",85+,1463.3621,12.3730,1439.2107,1487.8171
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",<1,21.0230,1.3714,18.4209,23.8898
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",1-4,16.1043,0.5952,14.9586,17.3144
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",5-9,10.1807,0.4188,9.3764,11.0356
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",10-14,12.7955,0.4710,11.8889,13.7529
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",15-19,17.4219,0.5402,16.3790,18.5138
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",20-24,23.9873,0.6054,22.8153,25.2039
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",25-29,42.2932,0.8065,40.7271,43.9041
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",30-34,78.6294,1.1836,76.3264,80.9842
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",35-39,129.9491,1.5741,126.8820,133.0717
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",40-44,219.5008,2.1104,215.3838,223.6767
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",45-49,353.3865,2.6382,348.2343,358.5958
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",50-54,606.6032,3.4240,599.9105,613.3519
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",55-59,936.6281,4.3949,928.0339,945.2822
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",60-64,1357.0332,5.8619,1345.5681,1368.5717
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",65-69,1787.7231,7.7125,1772.6384,1802.9043
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",70-74,1939.6407,9.7409,1920.5953,1958.8280
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",75-79,2035.5910,12.0340,2012.0723,2059.3160
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",80-84,2010.2877,14.7251,1981.5293,2039.3590
"Both Sexes","Black (includes Hispanic)","Observed SEER Incidence Rate",85+,1767.4665,14.0550,1740.0253,1795.2321
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",<1,22.7029,1.0113,20.7639,24.7743
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",1-4,21.5908,0.4884,20.6440,22.5698
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",5-9,13.7498,0.3462,13.0795,14.4456
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",10-14,16.4331,0.3860,15.6851,17.2076
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",15-19,24.3347,0.4764,23.4098,25.2867
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",20-24,35.9929,0.5702,34.8839,37.1283
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",25-29,54.5020,0.7100,53.1191,55.9117
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",30-34,82.7199,0.9018,80.9618,84.5066
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",35-39,121.3940,1.1228,119.2032,123.6150
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",40-44,187.2066,1.4534,184.3687,190.0771
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",45-49,275.8781,1.8369,272.2894,279.5024
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",50-54,440.1123,2.4758,435.2730,444.9920
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",55-59,646.2967,3.3037,639.8375,652.8048
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",60-64,936.1770,4.5573,927.2658,945.1525
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",65-69,1284.0968,6.2702,1271.8364,1296.4459
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",70-74,1520.0143,8.2428,1503.9010,1536.2572
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",75-79,1716.7839,10.5237,1696.2190,1737.5359
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",80-84,1805.0105,13.0620,1779.4991,1830.7961
"Both Sexes","Hispanic (any race)","Observed SEER Incidence Rate",85+,1739.7005,13.1456,1714.0297,1765.6595
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",<1,28.8524,0.9327,27.0532,30.7399
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",1-4,24.2819,0.4268,23.4525,25.1331
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",5-9,14.4554,0.2922,13.8883,15.0397
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",10-14,17.0584,0.3095,16.4571,17.6761
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",15-19,27.6216,0.3844,26.8733,28.3854
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",20-24,44.8199,0.4727,43.8981,45.7561
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",25-29,71.6461,0.5793,70.5151,72.7907
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",30-34,113.9240,0.7441,112.4701,115.3919
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",35-39,164.8484,0.9226,163.0451,166.6668
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",40-44,254.0037,1.1597,251.7357,256.2871
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",45-49,388.2790,1.3468,385.6438,390.9278
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",50-54,605.2766,1.5925,602.1593,608.4060
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",55-59,872.9834,1.8663,869.3293,876.6490
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",60-64,1230.3522,2.3157,1225.8176,1234.8993
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",65-69,1691.8985,2.9268,1686.1669,1697.6449
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",70-74,2077.1151,3.7513,2069.7690,2084.4808
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",75-79,2381.3514,4.8127,2371.9279,2390.8031
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",80-84,2514.3738,5.8314,2502.9572,2525.8296
"Both Sexes","Non-Hispanic White","Observed SEER Incidence Rate",85+,2282.2581,5.1268,2272.2207,2292.3289
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",<1,26.4670,0.7099,25.0937,27.8959
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",1-4,23.6669,0.3340,23.0168,24.3307
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",5-9,14.5032,0.2325,14.0511,14.9662
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",10-14,17.1183,0.2502,16.6315,17.6158
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",15-19,26.9865,0.3104,26.3816,27.6018
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",20-24,42.3464,0.3777,41.6094,43.0932
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",25-29,67.0708,0.4673,66.1581,67.9930
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",30-34,105.2193,0.5979,104.0506,106.3978
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",35-39,152.6513,0.7412,151.2021,154.1110
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",40-44,235.4423,0.9388,233.6058,237.2897
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",45-49,360.9336,1.1225,358.7369,363.1403
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",50-54,571.5075,1.3753,568.8151,574.2095
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",55-59,834.9342,1.6601,831.6837,838.1943
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",60-64,1187.0849,2.0992,1182.9741,1191.2065
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",65-69,1640.2689,2.6907,1634.9994,1645.5513
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",70-74,2010.9233,3.4636,2004.1403,2017.7235
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",75-79,2303.4244,4.4421,2294.7262,2312.1474
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",80-84,2435.5797,5.4005,2425.0063,2446.1879
"Both Sexes","White (includes Hispanic)","Observed SEER Incidence Rate",85+,2233.5039,4.8238,2224.0592,2242.9788
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",<1,25.1298,0.8447,23.5012,26.8414
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",1-4,21.8504,0.3909,21.0908,22.6304
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",5-9,12.5918,0.2634,12.0808,13.1189
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",10-14,15.7913,0.2929,15.2224,16.3760
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",15-19,24.8103,0.3629,24.1042,25.5319
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",20-24,40.5171,0.4486,39.6425,41.4062
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",25-29,72.6876,0.5856,71.5443,73.8446
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",30-34,127.7288,0.7932,126.1788,129.2931
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",35-39,197.0709,1.0101,195.0960,199.0608
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",40-44,312.7779,1.2955,310.2439,315.3275
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",45-49,452.7924,1.5210,449.8161,455.7835
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",50-54,624.9830,1.7519,621.5540,628.4263
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",55-59,800.9856,1.9892,797.0916,804.8939
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",60-64,1046.6919,2.4091,1041.9753,1051.4245
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",65-69,1359.3152,2.9917,1353.4578,1365.1917
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",70-74,1641.9153,3.8098,1634.4566,1649.3996
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",75-79,1847.3598,4.7632,1838.0357,1856.7195
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",80-84,1941.9311,5.6751,1930.8238,1953.0865
Female,"All Races (includes Hispanic)","Observed SEER Incidence Rate",85+,1783.1904,4.8711,1773.6558,1792.7635
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",1-4,15.4680,3.0335,10.1042,22.6642
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",15-19,10.2863,2.3001,6.2831,15.8863
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",20-24,22.4647,3.3488,16.3859,30.0596
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",25-29,44.5004,4.7709,35.6430,54.8910
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",30-34,109.3170,7.8893,94.4004,125.9213
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",35-39,145.3407,9.5216,127.2764,165.2501
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",40-44,207.0983,11.9969,184.2499,231.9973
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",45-49,301.2779,14.6660,273.2152,331.4408
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",50-54,457.4901,17.7943,423.2740,493.7356
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",55-59,577.9196,20.6400,538.1687,619.8298
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",60-64,833.2958,27.3986,780.4538,888.7740
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",65-69,970.5577,34.2077,904.6611,1039.9854
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",70-74,1207.0930,46.3581,1117.9306,1301.4750
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",75-79,1376.0008,60.3997,1260.1503,1499.6382
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",80-84,1513.2201,78.8821,1362.5449,1676.0052
Female,"American Indian / Alaska Native (includes Hispanic)","Observed SEER Incidence Rate",85+,1351.3514,78.1507,1202.5035,1513.5342
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",<1,27.4657,2.8329,22.1951,33.6111
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",1-4,21.8353,1.2382,19.4757,24.4019
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",5-9,10.7454,0.7695,9.2901,12.3640
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",10-14,12.8701,0.8360,11.2836,14.6172
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",15-19,20.7236,1.0562,18.7050,22.9007
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",20-24,31.2369,1.2177,28.8954,33.7175
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",25-29,53.8367,1.4252,51.0793,56.7042
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",30-34,96.2828,1.8850,92.6233,100.0498
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",35-39,160.1702,2.4896,155.3274,165.1256
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",40-44,273.4611,3.3113,267.0091,280.0297
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",45-49,404.8439,4.1717,396.7084,413.1042
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",50-54,518.4549,4.9132,508.8693,528.1756
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",55-59,606.2008,5.4921,595.4837,617.0624
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",60-64,762.1114,6.5507,749.3257,775.0606
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",65-69,923.9874,7.9483,908.4739,939.6994
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",70-74,1048.8387,10.1367,1029.0641,1068.8977
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",75-79,1146.7300,12.4278,1122.4998,1171.3515
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",80-84,1291.1842,15.5519,1260.8808,1322.0320
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",85+,1246.3038,14.3767,1218.2834,1274.8061
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",<1,23.1245,2.0520,19.2779,27.5138
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",1-4,15.9321,0.8444,14.3199,17.6762
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",5-9,10.5020,0.6063,9.3471,11.7602
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",10-14,11.6377,0.6406,10.4158,12.9635
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",15-19,16.9847,0.7603,15.5269,18.5424
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",20-24,26.7447,0.9104,24.9898,28.5902
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",25-29,50.6562,1.2471,48.2412,53.1608
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",30-34,101.5356,1.8739,97.8958,105.2762
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",35-39,171.5476,2.4922,166.6973,176.5032
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",40-44,280.6082,3.2700,274.2353,287.0917
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",45-49,406.0414,3.8750,398.4816,413.7085
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",50-54,590.4655,4.6228,581.4394,599.5967
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",55-59,800.9743,5.5411,790.1502,811.9095
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",60-64,1076.3126,7.0319,1062.5740,1090.1845
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",65-69,1357.5329,8.9174,1340.1105,1375.1251
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",70-74,1541.9192,11.3481,1519.7566,1564.3241
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",75-79,1683.5340,14.0412,1656.1249,1711.2830
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",80-84,1748.3500,17.2011,1714.7969,1782.3945
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",85+,1561.7727,15.7787,1530.9983,1593.0101
Female,"Hispanic (any race)","Observed SEER Incidence Rate",<1,21.3099,1.3991,18.6558,24.2358
Female,"Hispanic (any race)","Observed SEER Incidence Rate",1-4,20.4890,0.6792,19.1793,21.8647
Female,"Hispanic (any race)","Observed SEER Incidence Rate",5-9,12.3778,0.4692,11.4751,13.3325
Female,"Hispanic (any race)","Observed SEER Incidence Rate",10-14,16.0571,0.5444,15.0078,17.1606
Female,"Hispanic (any race)","Observed SEER Incidence Rate",15-19,22.4404,0.6533,21.1781,23.7582
Female,"Hispanic (any race)","Observed SEER Incidence Rate",20-24,33.5601,0.7901,32.0291,35.1453
Female,"Hispanic (any race)","Observed SEER Incidence Rate",25-29,64.4677,1.1187,62.2936,66.6984
Female,"Hispanic (any race)","Observed SEER Incidence Rate",30-34,109.8433,1.5032,106.9167,112.8297
Female,"Hispanic (any race)","Observed SEER Incidence Rate",35-39,170.1509,1.9060,166.4353,173.9284
Female,"Hispanic (any race)","Observed SEER Incidence Rate",40-44,265.9370,2.4629,261.1314,270.8088
Female,"Hispanic (any race)","Observed SEER Incidence Rate",45-49,372.2688,3.0316,366.3504,378.2588
Female,"Hispanic (any race)","Observed SEER Incidence Rate",50-54,520.0984,3.8002,512.6765,527.6008
Female,"Hispanic (any race)","Observed SEER Incidence Rate",55-59,661.8753,4.6684,652.7566,671.0895
Female,"Hispanic (any race)","Observed SEER Incidence Rate",60-64,875.9138,6.0690,864.0586,887.8909
Female,"Hispanic (any race)","Observed SEER Incidence Rate",65-69,1113.3294,7.9329,1097.8347,1128.9881
Female,"Hispanic (any race)","Observed SEER Incidence Rate",70-74,1296.8246,10.1472,1277.0117,1316.8679
Female,"Hispanic (any race)","Observed SEER Incidence Rate",75-79,1440.1356,12.6250,1415.4961,1465.0965
Female,"Hispanic (any race)","Observed SEER Incidence Rate",80-84,1504.5645,15.3583,1474.6115,1534.9728
Female,"Hispanic (any race)","Observed SEER Incidence Rate",85+,1480.5360,15.1162,1451.0553,1510.4650
Female,"Non-Hispanic White","Observed SEER Incidence Rate",<1,26.1439,1.2727,23.7087,28.7614
Female,"Non-Hispanic White","Observed SEER Incidence Rate",1-4,23.3318,0.5994,22.1716,24.5370
Female,"Non-Hispanic White","Observed SEER Incidence Rate",5-9,13.0482,0.3976,12.2805,13.8514
